Course Number	Course Title	Course Hours	Section	Day	Time	First Mark	Second	Third	Final Exam	Mark	Result	Course Status
11103	Structured Programming	3	3	Sun Tues Thurs	12:00 13:00	23	23	10	36	92	Pass	Registered
20141	Physics (1)	3	1	Sun Tues Thurs	11:00 12:00	16	18	12	30	76	Pass	Registered
11151	Structured Programming Lab	1	8	Monday	14:00 17:00	30	30	0	40	100	Pass	Registered
20134	Discrete Mathematics (1)	3	2	Mon Wednes	11:00 12:30	14	11	5	29	59	Pass	Registered
31151	National Education	3	5	Sun Tues Thurs	13:00 14:00	20	20	10	28	78	Pass	Registered
22241	Digital Logic Design	3	4	Mon Wednes	9:30 11:00	19	19	9	37	84	Pass	Registered
20147	Physics Lab	0	2	Thursday	16:00 18:00						Pass	Registered
