Course Number	Course Title	Course Hours	Section	Day	Time	First Mark	Second	Third	Final Exam	Mark	Result	Course Status
20233	Statistical Methods	3	6	Mon Wednes	8:00 9:30	17	14	9	20	60	Pass	Registered
11212	Data Structures and Introduction to Algorithms	3	2	Sun Tues Thurs	12:00 13:00	22	17	15	28	82	Pass	Registered
22342	Computer Organization and Assembly Language	3	2	Mon Wednes	12:30 14:00	16	18	14	23	71	Pass	Registered
20234	Linear Algebra	3	1	Mon Wednes	14:00 15:30	10	8	0			Not confirmed yet	Withdrawal
12343	Visual Programming	3	2	Sun Tues Thurs	11:00 12:00	20	17	20	39	96	Pass	Registered
