Course Number	Course Title	Course Hours	Section	Day	Time	First Mark	Second	Third	Final Exam	Mark	Result	Course Status
31111	Arabic Language	3	4	Sun Tues Thurs	14:00 15:00	14	17	18	35	84	Pass	Registered
31153	Introduction to Society, Technology and Environment Protection	0	1	Tuesday	12:00 13:00						Pass	Registered
31121	English Language	3	8	Mon Wednes	8:00 9:30	19	15	20	34	88	Pass	Registered
20132	Calculus (1)	3	9	Mon Wednes	11:00 12:30	12	21	9	27	69	Pass	Registered
11102	Introduction to Computer Science	3	1	Sun Tues Thurs	8:00 9:00	25	16	10	38	89	Pass	Registered
