Course Number	Course Title	Course Hours	Section	Day	Time	First Mark	Second	Third	Final Exam	Mark	Result	Course Status
20135	Discrete Math (2)	3	1	Sun Tues Thurs	12:00 13:00	20	10	20	34	84	Pass	Registered
11313	Algorithms Design and Analysis	3	2	Mon Wednes	11:00 12:30	14	15	20	41	90	Pass	Registered
 11323	Database Systems	3	1	Sun Tues Thurs	10:00 11:00	24.50	20	0	28.50	73	Pass	Registered
11354	Database Systems Lab	1	2	Monday	14:00 17:00	15	15	20	43	93	Pass	Registered
12243	Webpage Design and Internet programming	3	2	Mon Wednes	9:30 11:00	30	20	0	42	92	Pass	Registered
12242	Webpage Design and Internet programming LAB	1	3	Wednesday	14:00 17:00	19	20	10	50	99	Pass	Registered
