Course Number	Course Title	Course Hours	Section	Day	Time	Online	First Mark	Second	Third	Final Exam	Mark	Result	Course Status
20142	Physics (2) IT	3	2	Sun Tues Thurs	12:00 13:00	No	25	28	0	32		Pass	Registered
31261	Introduction to Politics and Economic Science	3	2	Sun Tues Thurs	12:00 13:00	No	25	28	0	29		Pass	Registered
22541	Computer Architecture	3	2	Sun Tues Thurs	12:00 13:00	No	23	18	9	31		Pass	Registered
11494	Graduation Project 2	2	2	Sun Tues Thurs	12:00 13:00	No	91	0	0	0		Pass	Registered
