Course Number	Course Title	Course Hours	Section	Day	Time	First Mark	Second	Third	Final Exam	Mark	Result	Course Status
11206	Object Oriented Programming	3	1	Sun Mon Tues Wednes	9:25 10:40	19	15	15	31	80	Pass	Registered
20133	Calculus (2)	3	2	Sun Mon Tues Wednes	10:50 12:05	21	16	7	14	58	Pass	Registered
11253	Object Oriented Programming Lab	1	1	Sun Tues	14:00 17:00	29	30	0	38	97	Pass	Registered
